Index,target,LCB,UCB,TP,sparsity size,F1,Method
2.0,5.429028060310932,1.5505225799731974,30.259986249954135,True,5.0,0.4444444444444445,MLE
2.0,-5.115114826997898,-31.20583006381752,-0.9624567780830695,True,5.0,0.4444444444444445,MLE
2.0,3.5450602544252834,-23.735736612827104,5.921785990422578,True,5.0,0.4444444444444445,MLE
2.0,-6.267290991322302,-23.767247804615184,7.161212656039723,True,5.0,0.4444444444444445,MLE
2.0,-4.276160244137134,-5.5230514601618435,24.80466164653955,True,5.0,0.4444444444444445,MLE
2.0,-5.1602579116050284,-32.469024034099384,0.10702428437755174,True,5.0,0.4444444444444445,MLE
2.0,-6.077869561400451,-24.503547620944165,6.397493776680992,True,5.0,0.4444444444444445,MLE
2.0,5.505771188542535,-14.289979766596796,15.217377787122784,True,5.0,0.4444444444444445,MLE
2.0,0.04245791072753933,-21.684842746155432,8.137032231684831,False,5.0,0.4444444444444445,MLE
2.0,-0.2090762414326556,-22.725821964601714,8.407234242395592,False,5.0,0.4444444444444445,MLE
2.0,-1.954053585692457,-10.87740265076668,20.256847029474343,False,5.0,0.4444444444444445,MLE
2.0,1.6796451963664687,-3.9164843017446103,25.992346517636303,False,5.0,0.4444444444444445,MLE
2.0,-1.7428071240643432,-44.37198643988049,-6.937038301522016,False,5.0,0.4444444444444445,Data splitting
2.0,-0.4464438318894294,-9.831577762646287,26.341398985959927,False,5.0,0.4444444444444445,Data splitting
2.0,0.4388580060594727,-23.181904738221988,14.974774399309352,False,5.0,0.4444444444444445,Data splitting
2.0,-1.0217847097001094,-20.109783593707782,15.169367514524872,False,5.0,0.4444444444444445,Data splitting
2.0,-0.7597575813654219,-28.474949691471288,6.719414507584748,False,5.0,0.4444444444444445,Data splitting
2.0,-2.068543626000502,-18.49398760246769,15.505933108341043,False,5.0,0.4444444444444445,Data splitting
2.0,-1.1110538951549875,-11.522936212116406,23.372984144998203,False,5.0,0.4444444444444445,Data splitting
2.0,-1.3276815661474552,-23.6741960740801,12.755845108878983,False,5.0,0.4444444444444445,Data splitting
2.0,5.904890824843262,15.264796922319153,50.11463199598199,True,5.0,0.4444444444444445,Data splitting
2.0,-4.612536294055052,-18.58866364425114,17.347479546709486,True,5.0,0.4444444444444445,Data splitting
2.0,4.0124994788688255,0.9594154765168845,38.87520055912849,True,5.0,0.4444444444444445,Data splitting
2.0,-5.858603779131248,-23.798483364605538,12.804562454433269,True,5.0,0.4444444444444445,Data splitting
2.0,-4.202651730947346,-19.91047317424923,15.085543069943547,True,5.0,0.4444444444444445,Data splitting
2.0,-5.109792844120985,-31.435660796152664,7.817434871839179,True,5.0,0.4444444444444445,Data splitting
2.0,-6.237034246967568,-30.219560419529454,6.933954795349024,True,5.0,0.4444444444444445,Data splitting
2.0,5.706516247812013,-4.9089005325714155,30.790935074977245,True,5.0,0.4444444444444445,Data splitting
2.0,-2.4670266981524254,-20.75982467007906,-2.12240543732454,False,5.0,0.4444444444444445,Naive
2.0,-1.1785086331056371,-1.0486018144703149,16.713654850325206,False,5.0,0.4444444444444445,Naive
2.0,-0.0203598660744125,-0.7421490987910229,17.477953283701645,False,5.0,0.4444444444444445,Naive
2.0,-1.682416979817399,-5.086459787271098,13.311038983269963,False,5.0,0.4444444444444445,Naive
2.0,5.298962143112791,6.228023411410836,24.350314111070055,True,5.0,0.4444444444444445,Naive
2.0,-5.117156418095533,-20.52068561190115,-1.8834319317860277,True,5.0,0.4444444444444445,Naive
