method,proportion,avg length
Naive,0.6,23.86171231046884
Naive,0.6,23.648730146245395
Naive,0.6,19.197839300711735
Naive,0.6,13.650334003014509
Naive,0.6,21.11787046777267
Naive,0.6,15.238564345424725
Naive,0.6,15.68870015321358
Naive,0.6,21.193585034384405
Naive,0.6,14.806274583652488
Naive,0.6,21.218000532482115
Naive,0.6,21.677400673271865
Naive,0.6,14.417112245374772
Naive,0.6,11.4803632179936
Naive,0.6,16.96413015981326
Naive,0.6,14.058631433253236
Naive,0.6,18.236442364158197
Naive,0.6,25.080904190320318
Naive,0.6,22.71426074754464
Naive,0.6,23.679809219697272
Naive,0.6,20.332357652596453
Naive,0.6,17.58755161964728
Naive,0.6,21.072874770137744
Naive,0.6,22.96355415702259
Naive,0.6,24.05019334605649
Naive,0.6,24.203864596554727
Naive,0.6,19.058194674532956
Naive,0.6,22.224198524256508
Naive,0.6,23.844857672427217
Naive,0.6,20.487320664759622
Naive,0.6,15.691188598270125
Naive,0.6,19.03419762493613
Naive,0.6,20.032358038958193
Naive,0.6,20.023293727733908
Naive,0.6,24.558682758408615
Naive,0.6,20.98239966727629
Naive,0.6,1193.295991166213
Naive,0.6,15.464975602782104
Naive,0.6,22.79393897279681
Naive,0.6,23.994247684944025
Naive,0.6,16.85716881687965
Naive,0.6,17.47915719541751
Naive,0.6,20.306390969946037
Naive,0.6,23.30453465414644
Naive,0.6,14.561882434378555
Naive,0.6,11.004673654983986
Naive,0.6,22.66811956395003
Naive,0.6,17.780719514743765
Naive,0.6,25.25724488663801
Naive,0.6,13.795219959095638
Naive,0.6,20.183528024845042
Naive,0.6,17.840838984282623
Naive,0.6,15.818833782832648
Naive,0.6,23.60530712036708
Naive,0.6,20.38204463734129
Naive,0.6,17.15464904856068
Naive,0.6,18.270011479255647
Naive,0.6,16.89540514341363
Naive,0.6,21.85356702174605
Naive,0.6,15.252375624847968
Naive,0.6,11.627155736057995
Naive,0.6,18.478697679222233
Naive,0.6,19.05008916595228
Naive,0.6,11.471800238748582
Naive,0.6,15.545554613983342
Naive,0.6,16.164946437803952
Naive,0.6,14.551781742847444
Naive,0.6,23.442615751976412
Naive,0.6,14.229855873054532
Naive,0.6,22.291403153585243
Naive,0.6,21.966086928563527
Naive,0.6,20.85796317096923
Naive,0.6,14.287000439420286
Naive,0.6,21.154789817446808
Naive,0.6,13.867164428989646
Naive,0.6,21.996964535240195
Naive,0.6,16.245181676576614
Naive,0.6,16.976336936198635
Naive,0.6,18.042159796333404
Naive,0.6,13.155786602983639
Naive,0.6,23.39718585776956
